char	digraph	description
ἇ	?:	greek small letter alpha with dasia and perispomeni
 	1n	en space
 	1m	em space
 	3m	three-per-em space
 	4m	four-per-em space
 	6m	six-per-em space
 	1t	thin space
 	1h	hair space
‐	-1	hyphen
–	-n	en dash
—	-m	em dash
―	-3	horizontal bar
‖	!2	double vertical line
‗	=2	double low line
‘	'6	left single quotation mark
’	'9	right single quotation mark
‚	.9	single low-9 quotation mark
‛	9'	single high-reversed-9 quotation mark
“	\"6	left double quotation mark
”	\"9	right double quotation mark
„	:9	double low-9 quotation mark
‟	9\"	double high-reversed-9 quotation mark
†	/-	dagger
‡	/=	double dagger
•	oo	bullet
‥	..	two dot leader
…		8230
‰	%0	per mille sign
′	1'	prime
″	2'	double prime
‴	3'	triple prime
⁗	4'	quadruple prime
‵	1\"	reversed prime
‶	2\"	reversed double prime
‷	3\"	reversed triple prime
‸	ca	caret
‹	<1	single left-pointing angle quotation mark
›	>1	single right-pointing angle quotation mark
※	:x	reference mark
‾	'-	overline
⁄	/f	fraction slash
⁰	0s	superscript zero
⁴	4s	superscript four
⁵	5s	superscript five
⁶	6s	superscript six
⁷	7s	superscript seven
⁸	8s	superscript eight
⁹	9s	superscript nine
⁺	+s	superscript plus sign
⁻	-s	superscript minus
⁼	=s	superscript equals sign
⁽	(s	superscript left parenthesis
⁾	)s	superscript right parenthesis
ⁿ	ns	superscript latin small letter n
₀	0s	subscript zero
₁	1s	subscript one
₂	2s	subscript two
₃	3s	subscript three
₄	4s	subscript four
₅	5s	subscript five
₆	6s	subscript six
₇	7s	subscript seven
₈	8s	subscript eight
₉	9s	subscript nine
₊	+s	subscript plus sign
₋	-s	subscript minus
₌	=s	subscript equals sign
₍	(s	subscript left parenthesis
₎	)s	subscript right parenthesis
₤	li	lira sign
₧	pt	peseta sign
₩	w=	won sign
€	eu	euro sign
₽	=r	rouble sign
₽	=p	rouble sign
℃	oc	degree celsius
℅	co	care of
℉	of	degree fahrenheit
№	n0	numero sign
℗	po	sound recording copyright
℞	rx	prescription take
℠	sm	service mark
™	tm	trade mark sign
ω	om	ohm sign
å	ao	angstrom sign
⅓	13	vulgar fraction one third
⅔	23	vulgar fraction two thirds
⅕	15	vulgar fraction one fifth
⅖	25	vulgar fraction two fifths
⅗	35	vulgar fraction three fifths
⅘	45	vulgar fraction four fifths
⅙	16	vulgar fraction one sixth
⅚	56	vulgar fraction five sixths
⅛	18	vulgar fraction one eighth
⅜	38	vulgar fraction three eighths
⅝	58	vulgar fraction five eighths
⅞	78	vulgar fraction seven eighths
ⅰ	1r	roman numeral one
ⅱ	2r	roman numeral two
ⅲ	3r	roman numeral three
ⅳ	4r	roman numeral four
ⅴ	5r	roman numeral five
ⅵ	6r	roman numeral six
ⅶ	7r	roman numeral seven
ⅷ	8r	roman numeral eight
ⅸ	9r	roman numeral nine
ⅹ	ar	roman numeral ten
ⅺ	br	roman numeral eleven
ⅻ	cr	roman numeral twelve
ⅰ	1r	small roman numeral one
ⅱ	2r	small roman numeral two
ⅲ	3r	small roman numeral three
ⅳ	4r	small roman numeral four
ⅴ	5r	small roman numeral five
ⅵ	6r	small roman numeral six
ⅶ	7r	small roman numeral seven
ⅷ	8r	small roman numeral eight
ⅸ	9r	small roman numeral nine
ⅹ	ar	small roman numeral ten
ⅺ	br	small roman numeral eleven
ⅻ	cr	small roman numeral twelve
←	<-	leftwards arrow
↑	-!	upwards arrow
→	->	rightwards arrow
↓	-v	downwards arrow
↔	<>	left right arrow
↕	ud	up down arrow
⇐	<=	leftwards double arrow
⇒	=>	rightwards double arrow
⇔	==	left right double arrow
∀	fa	for all
∂	dp	partial differential
∃	te	there exists
∅	/0	empty set
∆	de	increment
∇	nb	nabla
∈	(-	element of
∋	-)	contains as member
∏	*p	n-ary product
∑	+z	n-ary summation
−	-2	minus sign
∓	-+	minus-or-plus sign
∗	*-	asterisk operator
∘	ob	ring operator
∙	sb	bullet operator
√	rt	square root
∝	0(	proportional to
